transaction_id,transaction_date,amount,vendor_id,department_id,bank_account_id,sector_type,purpose,payment_method,fraud_type,is_fraud
26,14-11-2023,853281.88,604644994,102,8.73E+12,procurement,services,bank,none,0
27,15-04-2023,169699.1,730699660,107,2.54E+12,procurement,goods,bank,none,0
28,16-02-2024,81004.96,398675143,102,3.94E+12,procurement,goods,bank,none,0
29,08-05-2023,418742.57,372724777,114,2.38E+12,procurement,goods,bank,none,0
30,30-07-2023,701832.19,100585120,108,2.31E+12,procurement,infrastructure,bank,none,0
31,16-01-2023,70363.52,171754410,109,8.11E+12,spending,training,bank,none,0
32,15-09-2024,11907.15,938826497,106,2.62E+12,welfare,aid,bank,none,0
33,27-03-2024,106778.82,824678204,105,7.47E+12,spending,training,bank,none,0
34,12-06-2023,265797.06,993032820,102,3.58E+12,procurement,infrastructure,bank,none,0
35,22-07-2023,21609.38,610846881,105,1.39E+12,welfare,aid,bank,none,0
36,28-01-2023,9520.17,704669395,112,1.78E+12,welfare,aid,bank,none,0
37,13-08-2024,14675.97,938826497,106,2.62E+12,welfare,benefit_transfer,bank,none,0
38,19-04-2024,148658.54,244521862,101,1.72E+12,spending,maintenance,bank,none,0
39,28-09-2023,940758.77,304234562,115,1.64E+12,procurement,infrastructure,bank,amount_inflation,1
40,02-12-2024,11152.74,178424325,112,2.55E+12,welfare,benefit_transfer,bank,none,0
41,03-09-2024,515678.2,512050349,104,4.73E+12,procurement,goods,bank,none,0
42,18-11-2024,770256.84,100585120,108,2.31E+12,procurement,services,bank,none,0
43,24-07-2023,110293.17,760955423,103,7.01E+12,spending,operations,bank,none,0
44,11-12-2023,491805.05,346601881,113,6.36E+12,procurement,goods,bank,none,0
45,18-11-2024,719382.13,412354604,110,5.26E+12,procurement,infrastructure,bank,none,0
46,30-09-2024,87322.39,649657712,102,3.49E+12,spending,maintenance,bank,none,0
47,23-02-2024,751348.01,389669334,113,2.70E+12,procurement,infrastructure,bank,none,0
48,17-06-2024,36362.79,646390105,112,2.99E+12,welfare,aid,bank,none,0
49,22-09-2024,815117.1,309724730,113,4.94E+12,procurement,services,bank,none,0
50,13-03-2023,56045.92,824678204,105,7.47E+12,spending,training,bank,none,0
51,12-12-2024,139567.14,309724730,113,4.94E+12,procurement,services,bank,none,0
52,12-11-2024,363455.58,364557047,112,4.94E+12,procurement,goods,bank,none,0
53,06-05-2023,817902.31,645290415,114,3.58E+12,procurement,infrastructure,bank,none,0
54,31-10-2023,257341.01,503150545,114,6.81E+12,procurement,goods,bank,none,0
55,11-02-2024,170087.15,350875089,115,1.12E+12,procurement,infrastructure,bank,none,0
56,12-11-2023,325698.45,503150545,114,6.81E+12,procurement,services,bank,none,0
57,30-10-2023,21202.66,781238488,112,5.84E+12,spending,operations,bank,none,0
58,17-01-2023,196102.68,438526335,114,7.01E+12,procurement,services,bank,none,0
59,27-10-2024,69467.7,434158799,108,2.22E+12,spending,operations,bank,none,0
60,19-05-2023,334694.2,645290415,114,3.58E+12,procurement,infrastructure,bank,none,0
61,11-11-2023,28263.62,739345074,115,6.49E+12,welfare,subsidy,bank,none,0
62,11-11-2024,301142.85,364557047,112,4.94E+12,procurement,infrastructure,bank,none,0
63,12-06-2024,13435.49,450354820,107,6.81E+12,welfare,aid,bank,none,0
64,16-05-2023,5419.38,599987952,104,3.80E+12,welfare,benefit_transfer,bank,none,0
65,17-03-2023,123942.94,811299771,102,7.63E+12,spending,training,bank,none,0
66,05-08-2024,124090.52,290780434,102,4.84E+12,procurement,services,bank,none,0
67,15-07-2024,74503.57,550145315,115,3.40E+12,procurement,infrastructure,bank,none,0
68,29-01-2024,52259.92,389669334,113,2.70E+12,procurement,infrastructure,bank,none,0
69,05-11-2024,65374.92,244521862,101,1.72E+12,spending,maintenance,bank,none,0
70,19-06-2023,145294.25,118136001,111,5.41E+12,procurement,infrastructure,bank,repeated_vendor_pattern,1
71,15-05-2024,512535.12,364557047,112,4.94E+12,procurement,services,bank,none,0
72,23-02-2023,35169.43,893404884,113,1.01E+12,welfare,aid,bank,none,0
73,19-01-2023,105705.61,116266656,113,7.89E+12,spending,training,bank,none,0
74,28-04-2023,113215.24,164310053,111,8.92E+12,spending,operations,bank,none,0
75,30-05-2023,95882.2,364557047,112,4.94E+12,procurement,infrastructure,bank,none,0
76,25-05-2024,125205.42,269107993,108,6.45E+12,procurement,infrastructure,bank,none,0
77,08-12-2024,24643.64,536775340,102,7.67E+12,welfare,benefit_transfer,bank,none,0
78,23-04-2024,200000,215885643,106,9.78E+12,procurement,services,cash,none,0
79,18-05-2023,151538.82,208497648,110,4.98E+12,spending,training,cash,none,0
80,22-06-2024,16930.98,759233275,106,1.72E+12,welfare,benefit_transfer,bank,none,0
81,05-02-2023,29246.75,913885616,110,7.79E+12,welfare,subsidy,bank,none,0
82,17-09-2023,151018.06,580418803,106,4.84E+12,procurement,services,bank,none,0
83,13-11-2023,200000,580418803,106,4.84E+12,procurement,services,cash,none,0
84,27-10-2024,895527.56,346601881,113,6.36E+12,procurement,infrastructure,bank,none,0
85,07-02-2024,200000,240624834,110,6.97E+12,procurement,services,cash,none,0
86,10-09-2023,206068.02,645290415,114,3.58E+12,procurement,services,bank,none,0
87,23-04-2024,695659.32,802143973,105,8.32E+12,procurement,infrastructure,bank,shared_bank_account,1
88,07-07-2024,141357.47,791183852,103,5.41E+12,spending,operations,bank,none,0
89,20-01-2023,107304.72,832375074,115,1.17E+12,spending,training,bank,none,0
90,16-04-2023,356933,252251367,115,4.73E+12,procurement,services,bank,none,0
91,03-05-2023,14239.16,759233275,106,1.72E+12,welfare,aid,bank,none,0
92,30-11-2023,137151.9,585738843,110,5.53E+12,spending,maintenance,bank,none,0
93,11-02-2023,21528.13,759233275,106,1.72E+12,welfare,benefit_transfer,bank,none,0
94,25-02-2024,410445.53,700538584,106,3.74E+12,procurement,services,bank,none,0
95,07-04-2024,48913.11,951452436,112,8.38E+12,spending,maintenance,bank,none,0
96,20-05-2023,378530.9,350875089,115,1.12E+12,procurement,services,bank,none,0
97,09-08-2023,151949.65,649657712,102,3.49E+12,spending,training,bank,none,0
98,02-11-2023,611356.81,599225355,107,1.78E+12,procurement,infrastructure,bank,none,0
99,06-05-2023,861871.57,438526335,114,7.01E+12,procurement,infrastructure,bank,repeated_vendor_pattern,1
100,06-02-2024,20616.65,175401904,110,9.88E+12,welfare,subsidy,bank,none,0
101,21-12-2024,86465.46,769079081,111,8.32E+12,spending,maintenance,bank,none,0
102,12-11-2024,655463.24,512050349,104,4.73E+12,procurement,services,bank,none,0
103,19-08-2024,68619.19,116266656,113,7.89E+12,spending,maintenance,bank,none,0
104,09-01-2024,36671.97,325182357,112,8.32E+12,welfare,subsidy,bank,none,0
105,22-08-2024,304992.77,636627338,110,2.13E+12,procurement,services,bank,none,0
106,28-11-2023,807997.67,412354604,110,5.26E+12,procurement,services,bank,none,0
107,25-04-2024,200000,197356745,112,6.45E+12,procurement,infrastructure,cash,none,0
108,04-10-2024,90525.55,252251367,115,4.73E+12,procurement,goods,bank,none,0
109,05-04-2024,17245.79,193570372,103,1.59E+12,spending,maintenance,bank,none,0
110,13-11-2023,19975.57,226692604,114,8.22E+12,welfare,benefit_transfer,bank,none,0
111,22-08-2023,108912.86,434158799,108,2.22E+12,spending,maintenance,bank,none,0
112,03-09-2023,34261.04,325182357,112,8.32E+12,welfare,subsidy,bank,none,0
113,28-07-2024,2435629.35,969349199,106,3.94E+12,procurement,infrastructure,bank,amount_inflation,1
114,10-02-2024,633570.25,700538584,106,3.74E+12,procurement,infrastructure,bank,none,0
115,28-10-2023,152303.59,208497648,110,4.98E+12,spending,training,bank,none,0
116,13-09-2023,357888.06,364557047,112,4.94E+12,procurement,infrastructure,bank,none,0
117,15-04-2023,802772.45,304234562,115,1.64E+12,procurement,goods,bank,none,0
118,28-09-2024,786347.01,935487536,106,8.77E+12,procurement,goods,bank,none,0
119,12-10-2024,29197.59,325182357,112,8.32E+12,welfare,benefit_transfer,bank,none,0
120,31-07-2024,23563.81,922795356,115,7.17E+12,welfare,subsidy,bank,none,0
121,03-10-2023,731052.69,701051017,108,1.01E+12,procurement,infrastructure,bank,shared_bank_account,1
122,28-04-2024,547697.65,197356745,112,6.45E+12,procurement,goods,bank,none,0
123,16-09-2023,17075.27,650705694,110,2.22E+12,welfare,benefit_transfer,bank,none,0
124,11-06-2023,656275.21,100585120,108,2.31E+12,procurement,goods,bank,none,0
125,04-12-2023,819022.69,132300933,110,3.79E+12,procurement,services,bank,none,0
126,25-03-2024,63909.32,193570372,103,1.59E+12,spending,maintenance,bank,none,0
127,13-08-2024,380945.37,189339050,107,9.67E+12,procurement,goods,bank,none,0
128,29-06-2023,180369.01,116106913,114,6.74E+12,spending,maintenance,bank,none,0
129,05-06-2023,2731.45,526731186,103,7.83E+12,welfare,subsidy,bank,none,0
130,02-10-2024,14241.45,610846881,105,1.39E+12,welfare,benefit_transfer,bank,none,0
131,18-07-2024,3946.76,893404884,113,1.01E+12,welfare,benefit_transfer,bank,none,0
132,22-03-2023,53415.87,963181386,108,6.82E+12,procurement,infrastructure,bank,none,0
133,02-02-2023,200000,189339050,107,9.67E+12,procurement,services,cash,none,0
134,13-07-2023,848048.68,290780434,102,4.84E+12,procurement,services,bank,none,0
135,28-01-2023,22482.32,926267959,109,6.74E+12,welfare,subsidy,bank,none,0
136,25-01-2023,13780.31,650705694,110,2.22E+12,welfare,benefit_transfer,bank,none,0
137,07-03-2023,865374.23,599225355,107,1.78E+12,procurement,goods,bank,none,0
138,12-11-2023,155864.32,329245687,105,1.62E+12,spending,maintenance,bank,none,0
139,16-02-2024,763935.4,579525745,106,7.49E+12,procurement,services,bank,none,0
140,25-05-2023,243146.11,599225355,107,1.78E+12,procurement,infrastructure,bank,none,0
141,15-10-2024,432325.99,861174663,106,9.28E+12,procurement,infrastructure,bank,none,0
142,09-12-2023,231570.05,573016686,115,4.34E+12,procurement,services,bank,none,0
143,30-07-2023,6021.27,835403067,113,2.54E+12,welfare,aid,bank,none,0
144,17-03-2024,68693.21,691919222,106,3.40E+12,procurement,goods,bank,none,0
145,28-06-2023,30588.1,781238488,112,5.84E+12,spending,operations,bank,none,0
146,13-08-2023,31655.8,526731186,103,7.83E+12,welfare,benefit_transfer,bank,none,0
147,24-11-2024,36993.93,650705694,110,2.22E+12,welfare,subsidy,bank,none,0
148,11-01-2023,81842.23,529926020,106,2.49E+12,spending,training,bank,none,0
149,23-09-2024,342900.28,802143973,105,8.32E+12,procurement,infrastructure,bank,none,0
150,07-12-2024,18574.81,450354820,107,6.81E+12,welfare,subsidy,bank,none,0
151,24-08-2023,369137.73,591054221,113,4.43E+12,procurement,infrastructure,bank,none,0
152,18-10-2023,554360.43,350875089,115,1.12E+12,procurement,services,bank,none,0
153,20-09-2023,149982.57,144968665,101,2.22E+12,spending,maintenance,bank,none,0
154,10-05-2023,31099.97,138281881,106,5.95E+12,spending,operations,bank,none,0
155,17-04-2023,39760.01,610846881,105,1.39E+12,welfare,subsidy,bank,none,0
156,17-12-2023,263104.11,412354604,110,5.26E+12,procurement,infrastructure,bank,none,0
157,15-05-2024,26460.85,175401904,110,9.88E+12,welfare,subsidy,bank,none,0
158,05-09-2023,20629.22,811299771,102,7.63E+12,spending,maintenance,bank,none,0
159,10-01-2024,721678.26,304234562,115,1.64E+12,procurement,goods,bank,amount_inflation,1
160,21-09-2024,380337.69,111762859,103,7.17E+12,procurement,goods,bank,none,0
161,26-10-2024,225727,515015750,107,8.32E+12,procurement,goods,bank,shared_bank_account,1
162,16-01-2023,28594.61,526731186,103,7.83E+12,welfare,benefit_transfer,bank,none,0
163,09-09-2024,227293.09,550145315,115,3.40E+12,procurement,infrastructure,bank,none,0
164,13-05-2023,75362.09,144968665,101,2.22E+12,spending,operations,bank,none,0
165,09-01-2023,149888.57,824678204,105,7.47E+12,spending,operations,bank,none,0
166,24-07-2023,174330.41,963181386,108,6.82E+12,procurement,services,bank,none,0
167,12-04-2024,163708.67,189339050,107,9.67E+12,procurement,services,bank,none,0
168,19-05-2024,542378.37,111762859,103,7.17E+12,procurement,goods,bank,none,0
169,25-10-2024,436689.51,969349199,106,3.94E+12,procurement,infrastructure,bank,none,0
170,07-03-2023,121015.45,550747587,108,2.74E+12,spending,training,bank,none,0
171,08-11-2024,27538.42,585151261,110,9.43E+12,welfare,benefit_transfer,bank,none,0
172,16-05-2023,83738,171754410,109,8.11E+12,spending,maintenance,bank,none,0
173,17-04-2023,514037.36,993032820,102,3.58E+12,procurement,infrastructure,bank,none,0
174,27-08-2024,180603.02,743835017,107,4.69E+12,spending,operations,bank,none,0
175,10-10-2024,182348.78,425774624,106,2.54E+12,procurement,infrastructure,bank,none,0
176,29-10-2024,195526.89,622722529,101,7.73E+12,spending,training,bank,none,0
177,24-08-2023,199549.73,131945878,110,1.62E+12,spending,maintenance,bank,none,0
178,15-02-2024,721710.53,389669334,113,2.70E+12,procurement,infrastructure,bank,none,0
179,27-05-2023,5644.85,215752697,101,9.77E+12,welfare,benefit_transfer,bank,none,0
180,26-10-2024,31880.66,178424325,112,2.55E+12,welfare,subsidy,bank,none,0
181,19-03-2024,448364.98,303905758,109,9.76E+12,procurement,goods,bank,none,0
182,26-12-2023,401002.38,803087908,103,3.37E+12,procurement,goods,bank,none,0
183,03-06-2024,529412.41,573016686,115,4.34E+12,procurement,services,bank,none,0
184,28-12-2023,88645.31,824678204,105,7.47E+12,spending,maintenance,cash,none,0
185,07-04-2024,194665.45,252251367,115,4.73E+12,procurement,infrastructure,bank,none,0
186,28-05-2023,87224.13,461735931,111,5.84E+12,spending,operations,bank,none,0
187,11-01-2023,244551.14,132300933,110,3.79E+12,procurement,services,bank,none,0
188,29-10-2023,501413.35,636627338,110,2.13E+12,procurement,goods,bank,none,0
189,02-03-2024,10157.1,935919667,105,9.49E+12,welfare,benefit_transfer,bank,none,0
190,15-05-2024,223119.1,645290415,114,3.58E+12,procurement,services,bank,none,0
191,08-02-2024,123955.8,461735931,111,5.84E+12,spending,operations,bank,none,0
192,03-05-2024,73435.03,585738843,110,5.53E+12,spending,maintenance,bank,none,0
193,05-03-2023,188767.35,963181386,108,6.82E+12,procurement,infrastructure,bank,none,0
194,16-01-2024,77542.18,579525745,106,7.49E+12,procurement,infrastructure,bank,none,0
195,10-01-2023,29935.58,791183852,103,5.41E+12,spending,training,bank,none,0
196,10-01-2024,169615.54,529926020,106,2.49E+12,spending,operations,bank,none,0
197,08-07-2023,21615.25,457111100,112,1.01E+12,welfare,benefit_transfer,bank,none,0
198,07-08-2023,264173.02,309724730,113,4.94E+12,procurement,goods,bank,none,0
199,02-04-2023,26237.95,743835017,107,4.69E+12,spending,maintenance,bank,none,0
200,03-02-2023,319757.35,290780434,102,4.84E+12,procurement,services,bank,none,0
201,19-02-2023,5184.18,457111100,112,1.01E+12,welfare,benefit_transfer,bank,none,0
202,23-01-2023,574446.43,304745829,104,4.49E+12,procurement,infrastructure,bank,none,0
203,10-12-2023,184182.87,622722529,101,7.73E+12,spending,maintenance,bank,none,0
204,02-12-2024,95058.77,585738843,110,5.53E+12,spending,maintenance,bank,none,0
205,24-11-2023,812689.21,132300933,110,3.79E+12,procurement,services,bank,none,0
206,15-07-2024,85462.37,529926020,106,2.49E+12,spending,training,bank,none,0
207,10-04-2023,22380.48,450354820,107,6.81E+12,welfare,subsidy,bank,none,0
208,08-10-2023,451536.46,734537864,110,6.74E+12,procurement,goods,bank,none,0
209,23-03-2024,157931.56,329245687,105,1.62E+12,spending,maintenance,bank,none,0
210,28-11-2023,221805.86,512050349,104,4.73E+12,procurement,infrastructure,bank,none,0
211,11-08-2024,550485.87,359784334,104,8.22E+12,procurement,services,bank,none,0
212,03-04-2023,59640.07,131945878,110,1.62E+12,spending,maintenance,bank,none,0
213,07-03-2023,11682.57,935919667,105,9.49E+12,welfare,benefit_transfer,bank,none,0
214,24-09-2024,105456.44,802143973,105,8.32E+12,procurement,services,bank,shared_bank_account,1
215,10-07-2023,690156.72,132300933,110,3.79E+12,procurement,goods,bank,none,0
216,27-12-2023,532865.52,372724777,114,2.38E+12,procurement,infrastructure,bank,none,0
217,11-04-2023,197350.52,529926020,106,2.49E+12,spending,maintenance,bank,none,0
218,17-06-2023,180882.79,649657712,102,3.49E+12,spending,operations,bank,none,0
219,22-04-2023,858370.91,913939801,115,4.49E+12,procurement,services,bank,none,0
220,13-09-2023,354312.52,269107993,108,6.45E+12,procurement,goods,bank,none,0
221,28-07-2024,161822.36,586399530,115,6.47E+12,procurement,services,bank,none,0
222,05-06-2023,792743.25,550145315,115,3.40E+12,procurement,infrastructure,bank,none,0
223,16-06-2023,504370.52,525373532,102,3.89E+12,procurement,infrastructure,bank,none,0
224,25-02-2023,133846.35,951452436,112,8.38E+12,spending,maintenance,bank,none,0
225,03-12-2024,364905.61,167822818,109,3.03E+12,procurement,services,bank,none,0
226,19-03-2023,857390.87,691919222,106,3.40E+12,procurement,goods,bank,none,0
227,03-01-2023,136704.55,515015750,107,8.32E+12,procurement,services,bank,shared_bank_account,1
228,13-11-2024,7347.69,610846881,105,1.39E+12,welfare,subsidy,bank,none,0
229,17-06-2024,18597.45,610846881,105,1.39E+12,welfare,aid,bank,none,0
230,12-12-2024,351098.85,525373532,102,3.89E+12,procurement,infrastructure,bank,none,0
231,12-05-2024,213963.6,111762859,103,7.17E+12,procurement,goods,bank,none,0
232,04-11-2023,267652.93,525373532,102,3.89E+12,procurement,goods,bank,none,0
233,21-01-2023,199343.25,104932521,101,1.17E+12,spending,maintenance,bank,none,0
234,30-03-2023,703853.48,215885643,106,9.78E+12,procurement,goods,bank,none,0
235,25-01-2023,7666.46,540288822,109,9.35E+12,welfare,benefit_transfer,bank,none,0
236,16-01-2024,195326,585738843,110,5.53E+12,spending,operations,bank,none,0
237,10-12-2023,236425.78,189339050,107,9.67E+12,procurement,services,bank,none,0
238,14-01-2024,14744.47,926267959,109,6.74E+12,welfare,aid,bank,none,0
239,29-08-2023,841361.25,503150545,114,6.81E+12,procurement,infrastructure,bank,none,0
240,15-08-2023,716109.87,350875089,115,1.12E+12,procurement,services,bank,none,0
241,19-06-2024,14246.27,951452436,112,8.38E+12,spending,training,bank,none,0
242,05-06-2024,330145.74,304234562,115,1.64E+12,procurement,services,bank,none,0
243,30-05-2024,257778.27,969349199,106,3.94E+12,procurement,infrastructure,bank,none,0
244,16-03-2023,35755.69,529926020,106,2.49E+12,spending,operations,bank,none,0
245,31-07-2023,122726.67,313127159,111,7.83E+12,spending,maintenance,bank,none,0
246,23-02-2023,474126.39,303905758,109,9.76E+12,procurement,goods,bank,none,0
247,30-07-2023,20727.26,610846881,105,1.39E+12,welfare,subsidy,bank,none,0
248,22-05-2023,7386.79,678417751,104,3.03E+12,welfare,benefit_transfer,bank,none,0
249,31-08-2023,165343.59,935487536,106,8.77E+12,procurement,goods,bank,none,0
250,17-01-2024,667791.02,503150545,114,6.81E+12,procurement,services,bank,none,0
251,22-12-2023,624895.86,197356745,112,6.45E+12,procurement,infrastructure,bank,none,0
252,18-06-2024,154832.43,832375074,115,1.17E+12,spending,training,bank,none,0
253,31-10-2024,239500.18,410354284,108,7.67E+12,procurement,goods,bank,none,0
254,14-06-2023,29918.46,461735931,111,5.84E+12,spending,operations,bank,none,0
255,09-09-2024,17411.79,885865426,105,9.14E+12,spending,maintenance,bank,none,0
256,26-01-2023,113238.26,156180956,104,2.18E+12,spending,training,bank,none,0
257,15-02-2024,10040.61,935919667,105,9.49E+12,welfare,subsidy,bank,none,0
258,26-05-2024,570366.57,302277356,103,6.49E+12,procurement,services,bank,none,0
259,12-02-2023,336112.61,512050349,104,4.73E+12,procurement,services,bank,none,0
260,21-11-2023,191408.08,290780434,102,4.84E+12,procurement,infrastructure,bank,none,0
261,23-08-2024,14632.49,175401904,110,9.88E+12,welfare,aid,bank,none,0
262,28-09-2024,40897.17,313127159,111,7.83E+12,spending,training,bank,none,0
263,18-11-2023,249849.81,586399530,115,6.47E+12,procurement,goods,bank,none,0
264,10-04-2023,101099.31,769079081,111,8.32E+12,spending,training,bank,none,0
265,02-01-2023,613334.84,730699660,107,2.54E+12,procurement,infrastructure,bank,none,0
266,03-04-2023,321573.06,389669334,113,2.70E+12,procurement,goods,bank,none,0
267,05-07-2024,426325.41,803087908,103,3.37E+12,procurement,services,bank,none,0
268,18-09-2023,29444.9,138281881,106,5.95E+12,spending,operations,bank,none,0
269,16-05-2024,7756.18,457111100,112,1.01E+12,welfare,subsidy,bank,none,0
270,17-12-2023,141024.77,461735931,111,5.84E+12,spending,training,bank,none,0
271,12-05-2023,32302.24,540288822,109,9.35E+12,welfare,aid,bank,none,0
272,01-05-2023,13525.35,540288822,109,9.35E+12,welfare,subsidy,bank,none,0
273,04-11-2024,341676.13,425774624,106,2.54E+12,procurement,infrastructure,bank,none,0
274,13-06-2023,627436.12,304234562,115,1.64E+12,procurement,infrastructure,bank,amount_inflation,1
275,29-09-2024,137133.51,951452436,112,8.38E+12,spending,training,bank,none,0
276,03-01-2023,533775.09,189339050,107,9.67E+12,procurement,services,bank,none,0
277,28-12-2023,83208.31,591054221,113,4.43E+12,procurement,infrastructure,bank,none,0
278,25-09-2024,108007.1,313127159,111,7.83E+12,spending,training,bank,none,0
279,11-07-2023,12141.12,650705694,110,2.22E+12,welfare,aid,bank,none,0
280,03-12-2023,838042.94,993032820,102,3.58E+12,procurement,services,bank,none,0
281,08-12-2023,142759.1,389669334,113,2.70E+12,procurement,goods,bank,none,0
282,02-07-2024,92722.37,573016686,115,4.34E+12,procurement,infrastructure,bank,none,0
283,20-03-2024,328376.78,861174663,106,9.28E+12,procurement,goods,bank,none,0
284,21-02-2024,832100.82,111762859,103,7.17E+12,procurement,goods,bank,none,0
285,02-05-2024,30971.97,175401904,110,9.88E+12,welfare,benefit_transfer,bank,none,0
286,23-08-2024,110266.93,461735931,111,5.84E+12,spending,maintenance,bank,none,0
287,03-06-2023,38820.32,457111100,112,1.01E+12,welfare,aid,bank,none,0
288,25-10-2024,4202.95,678417751,104,3.03E+12,welfare,benefit_transfer,bank,none,0
289,18-07-2023,861484.34,163942516,109,1.62E+12,procurement,services,bank,none,0
290,12-12-2024,35000.23,585151261,110,9.43E+12,welfare,benefit_transfer,bank,none,0
291,08-09-2023,26686.68,215752697,101,9.77E+12,welfare,aid,bank,none,0
292,31-03-2023,653927.24,189339050,107,9.67E+12,procurement,goods,bank,none,0
293,16-03-2023,127622.68,760955423,103,7.01E+12,spending,maintenance,bank,none,0
294,13-05-2024,35202.83,938826497,106,2.62E+12,welfare,aid,bank,none,0
295,08-11-2023,68683.62,132300933,110,3.79E+12,procurement,services,bank,none,0
296,21-09-2023,60881.66,138281881,106,5.95E+12,spending,operations,bank,none,0
297,08-04-2024,10026.37,191255991,103,2.22E+12,welfare,subsidy,bank,none,0
298,02-04-2023,19994.92,835403067,113,2.54E+12,welfare,aid,bank,none,0
299,21-01-2024,626181.92,503150545,114,6.81E+12,procurement,infrastructure,bank,none,0
300,21-08-2023,301818.55,798008398,111,1.35E+12,procurement,infrastructure,bank,none,0
301,06-08-2023,605396.73,503150545,114,6.81E+12,procurement,services,bank,none,0
302,05-02-2024,64221.76,304745829,104,4.49E+12,procurement,infrastructure,bank,none,0
303,12-02-2024,304728.27,730699660,107,2.54E+12,procurement,goods,bank,none,0
304,22-02-2023,33818.62,215752697,101,9.77E+12,welfare,aid,bank,none,0
305,09-01-2024,11559.51,201064292,109,9.43E+12,welfare,aid,bank,none,0
306,10-06-2023,889014.11,189339050,107,9.67E+12,procurement,infrastructure,bank,none,0
307,03-08-2024,341727.86,425774624,106,2.54E+12,procurement,services,bank,none,0
308,14-05-2024,89803.6,329245687,105,1.62E+12,spending,training,bank,none,0
309,18-04-2024,39664.07,926267959,109,6.74E+12,welfare,benefit_transfer,bank,none,0
310,18-03-2024,695082.77,598145835,105,1.62E+12,procurement,services,bank,none,0
311,25-01-2024,649540.06,861174663,106,9.28E+12,procurement,goods,bank,none,0
312,04-11-2024,129011.89,743835017,107,4.69E+12,spending,maintenance,bank,none,0
313,02-07-2023,36600.51,707997443,115,2.55E+12,welfare,subsidy,bank,none,0
314,15-07-2023,200000,803087908,103,3.37E+12,procurement,infrastructure,cash,none,0
315,05-08-2023,580975.51,598145835,105,1.62E+12,procurement,services,bank,none,0
316,19-12-2024,316654.35,252251367,115,4.73E+12,procurement,services,bank,none,0
317,17-08-2023,24874.86,226692604,114,8.22E+12,welfare,benefit_transfer,bank,none,0
318,17-03-2024,199277.84,304745829,104,4.49E+12,procurement,services,bank,none,0
319,11-09-2024,650434.54,303905758,109,9.76E+12,procurement,services,bank,none,0
320,09-01-2024,20731.8,599987952,104,3.80E+12,welfare,benefit_transfer,bank,none,0
321,10-07-2024,849901.24,304234562,115,1.64E+12,procurement,infrastructure,bank,none,0
322,30-06-2024,29350.5,208497648,110,4.98E+12,spending,training,cash,none,0
323,07-10-2023,87217.7,240624834,110,6.97E+12,procurement,infrastructure,cash,none,0
324,28-07-2024,67449.77,586399530,115,6.47E+12,procurement,goods,bank,none,0
325,16-01-2023,13795.35,540288822,109,9.35E+12,welfare,benefit_transfer,bank,none,0
326,26-04-2023,5656.95,585151261,110,9.43E+12,welfare,subsidy,bank,none,0
327,12-07-2024,128301.5,844573897,105,4.84E+12,spending,maintenance,bank,none,0
328,28-02-2024,60463.47,461735931,111,5.84E+12,spending,operations,bank,none,0
329,23-01-2023,16882.26,599987952,104,3.80E+12,welfare,benefit_transfer,bank,none,0
330,12-04-2024,292696.44,935487536,106,8.77E+12,procurement,infrastructure,bank,none,0
